"","X","Slope","TrueID","Treatment","PropAlive","Performance","Food","dryweight","Protein","Carbs","LineWeight1","LineWeight2","Enacapsulation","PO","ProPO","Protein.1","BSA.Slope","BSA.Intercept","RealProtein","maxweight","Protein.2","RealProtein.2","Distance","PerformanceSTD","EncapsulationSTD","POSTD","RealProteinSTD","ProPOSTD"
"67",67,-0.002885872,925,"ULS",0.7,-0.00202011,9.6213,2.258058917,0.677417675,0.564514729,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.544,NA,NA,0.881800195997001,-3.10787609326241,NA,NA,NA,NA
"68",68,0.023851783,426,"LowS",0.692307692,0.016512773,28.0832,6.690576488,2.007172946,1.873361417,NA,NA,NA,NA,NA,NA,NA,NA,NA,8355.3,NA,NA,2.74558304078725,0.666739445131212,NA,NA,NA,NA
"69",69,0.02539167,727,"ULS",0.7,0.017774169,18.6469,4.425015221,1.327504566,1.106253805,NA,NA,NA,NA,NA,NA,NA,NA,NA,7971.8,NA,NA,1.72802368439435,0.923649551436181,NA,NA,NA,NA
"70",70,0.022546018,827,"ULS",0.7,0.015782212,18.8646,4.477282814,1.343184844,1.119320704,0.538,0.962,0.424,0.001135,0.000208,0.4205,-0.053,0.26,0.2377135,9069.3,1.14141765,1.53197756455,1.74843483251574,0.517945169445967,0.0965900323134244,0.673394157579646,0.792126006869444,-0.622127720289576
"71",71,0.01865079,927,"ULS",0.7,0.013055553,25.1206,5.979285854,1.793785756,1.494821464,NA,NA,NA,NA,NA,NA,NA,NA,NA,9289.1,NA,NA,2.33498577033428,-0.0373968908962266,NA,NA,NA,NA
"72",72,0.023422569,428,"LowS",0.692307692,0.016215625,35.517,8.47535753,2.542607259,2.373100108,NA,NA,NA,NA,NA,NA,NA,NA,NA,11431.3,NA,NA,3.47799594538422,0.606218939066258,NA,NA,NA,NA
"73",73,0.026327842,728,"ULS",0.7,0.018429489,12.8283,3.028027547,0.908408264,0.757006887,NA,NA,NA,NA,NA,NA,NA,NA,NA,10582.5,NA,NA,1.18248255846288,1.05711939822797,NA,NA,NA,NA
"74",74,0.023046035,828,"ULS",0.7,0.016132225,10.69,2.5146431,0.75439293,0.628660775,0.513,2.275,1.762,0.001175,0.0008775,0.3945,-0.053,0.26,0.2390915,10157.3,1.19697185,1.52903319195,0.981999522839795,0.589232756403688,3.36944862210036,0.735414111856101,0.785842501290584,0.73123330716365
"75",75,0.021637186,929,"ULS",0.7,0.01514603,30.4022,7.247345198,2.174203559,1.8118363,NA,NA,NA,NA,NA,NA,NA,NA,NA,3953.4,NA,NA,2.83017877420596,0.388373183131354,NA,NA,NA,NA
"76",76,0.02444409,430,"LowS",0.692307692,0.016922832,32.177,7.67345693,2.302037079,2.14856794,NA,NA,NA,NA,NA,NA,NA,NA,NA,10283.9,NA,NA,3.14892345189379,0.750256676263473,NA,NA,NA,NA
"77",77,0.025492774,730,"ULS",0.7,0.017844942,30.4081,7.248761729,2.174628519,1.812190432,NA,NA,NA,NA,NA,NA,NA,NA,NA,7472,NA,NA,2.83073194730276,0.938063977162536,NA,NA,NA,NA
"78",78,0.02353121,830,"ULS",0.7,0.016471847,12.0256,2.835307304,0.850592191,0.708826826,0.5,2.837,2.337,0.00025,0.000442,NA,NA,NA,NA,9586.2,NA,NA,1.10722289745444,0.658403995351256,4.7759461476067,-0.698797330786913,NA,-0.149108332053497
"79",79,0.009678379,930,"ULS",0.7,0.006774866,54.0796,12.93205216,3.879615649,3.233013041,NA,NA,NA,NA,NA,NA,NA,NA,NA,2053.9,NA,NA,5.0501278109808,-1.31659229411476,NA,NA,NA,NA
"80",80,0.022179862,932,"ULS",0.7,0.015525903,44.09,10.5336491,3.16009473,2.633412275,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415.7,NA,NA,4.11352147346947,0.465742393761789,NA,NA,NA,NA
"82",82,0.015212744,937,"ULS",0.7,0.010648921,65.1765,15.59630689,4.678892066,3.899076721,NA,NA,NA,NA,NA,NA,NA,NA,NA,5140.7,NA,NA,6.09055253991966,-0.527558650531536,NA,NA,NA,NA
"83",83,0.017333561,941,"MP",0.55,0.009533459,19.1403,4.543475627,1.044999394,1.726520738,NA,NA,NA,0.0002875,9.165e-05,0.4935,-0.14,0.521,0.45191,4985.4,0.98543855,1.074303903,2.01814211397623,-0.754746195917089,NA,-0.640653623652737,-0.184582921085696,-0.857323471662515
"86",86,0.024094226,101,"Control",0.712121212,0.017158009,17.8274,4.228261466,1.310761054,1.564456742,0.733,0.776,0.043,0.00099,0.00109,0.4775,-0.053,0.26,0.2346925,7935.7,1.01962575,1.53843253525,2.04098491867834,0.798155470988114,-0.835367458500344,0.448571823327498,0.805901384484636,1.16079151229257
"87",87,0.023648473,102,"Control",0.712121212,0.016840579,20.5296,4.877032664,1.511880126,1.804502086,0.602,1.146,0.544,0.000754,8.735e-05,0.4775,-0.053,0.26,0.2346925,9117.2,1.01962575,1.53843253525,2.35414725405445,0.733504104530328,0.390119950679966,0.0826540930964154,0.805901384484636,-0.866015708283947
"88",88,0.021768304,103,"Control",0.712121212,0.015501671,17.0482,4.041183338,1.252766835,1.495237835,0.596,1.257,0.661,0.000854,0.000742,0.508,-0.14,0.521,0.44988,7265,0.9544564,1.078641404,1.95068216941956,0.460807031911916,0.676311621087343,0.237703978787552,-0.175326378034111,0.457326781069681
"89",89,0.023313415,104,"Control",0.712121212,0.016601978,15.7321,3.725200889,1.154812276,1.378324329,0.546,1.39,0.844,0.001625,0.0014175,0.5145,-0.053,0.26,0.2327315,7673.9,0.94056785,1.54262260395,1.79815720912094,0.684907939428748,1.12394474659632,1.43313859746622,0.814843296269936,1.82281651078537
"90",90,0.021485351,105,"Control",0.712121212,0.015300174,14.5626,3.444415634,1.067768847,1.274433785,0.714,1.412,0.698,0.00185,0.000625,0.5165,-0.14,0.521,0.44869,6797.2,0.93629445,1.081184077,1.66262196033047,0.419767885053885,0.76681667925036,1.78200084027127,-0.169900128659043,0.220817086951642
"91",91,0.023764536,106,"Control",0.712121212,0.01692323,17.6058,4.175057522,1.294267832,1.544771283,0.686,1.036,0.35,0.0002625,7.085e-05,0.4855,-0.053,0.26,0.2342685,7610.4,1.00253215,1.53933849605,2.01530333640657,0.750337737422942,-0.0844200840126094,-0.679416095075521,0.807834770816592,-0.899369639505722
"92",92,0.02132363,107,"Control",0.712121212,0.01518501,17.034,4.03777406,1.251709959,1.493976402,0.556,0.745,0.189,0.000192,5.83e-05,0.512,-0.14,0.521,0.44932,7571.5,0.9459096,1.079837956,1.94903650842991,0.396312288649183,-0.478239391154385,-0.788726264487772,-0.172772848916432,-0.924738841738041
"93",93,0.019352704,108,"Control",0.712121212,0.013781471,22.7003,5.398196027,1.673440768,1.99733253,0.793,1.208,0.415,0.0009685,0.0005755,0.2235,NA,NA,NA,10049,1.56234755,NA,2.60571319208401,0.1104517391523,0.0745752884359338,0.415236097903903,NA,0.120755293286317
"94",94,0.025046246,109,"Control",0.712121212,0.017835963,13.1203,3.098133827,0.960421486,1.146309516,0.551,NA,NA,0.00134,0.001195,0.5375,-0.053,0.26,0.2315125,6543.4,0.89142375,1.54522724125,1.49547147657272,0.936235212964369,NA,0.991246423246476,0.820401781974311,1.37304380188568
